fips,state_code,district_code,name,senator_1,senator_1_party,senator_2,senator_2_party,representative,representative_party,report_link
01,AL,00,"Alabama","Tommy Tuberville","Republican","Katie Boyd Britt","Republican",,,"https://environmentalenforcementwatch.org/report_cards/AL_2024.pdf"
02,AK,00,"Alaska","Lisa Murkowski","Republican","Dan Sullivan","Republican",,,"https://environmentalenforcementwatch.org/report_cards/AK_2024.pdf"
04,AZ,00,"Arizona","Kyrsten Sinema","Independent","Mark Kelly","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/AZ_2024.pdf"
05,AR,00,"Arkansas","John Boozman","Republican","Tom Cotton","Republican",,,"https://environmentalenforcementwatch.org/report_cards/AR_2024.pdf"
06,CA,00,"California","Dianne Feinstein","Democrat","Alex Padilla","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/CA_2024.pdf"
08,CO,00,"Colorado","Michael F. Bennet","Democrat","John W. Hickenlooper","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/CO_2024.pdf"
09,CT,00,"Connecticut","Richard Blumenthal","Democrat","Christopher Murphy","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/CT_2024.pdf"
10,DE,00,"Delaware","Thomas R. Carper","Democrat","Christopher A. Coons","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/DE_2024.pdf"
11,DC,00,"District of Columbia",,,,,,,"https://environmentalenforcementwatch.org/report_cards/DC_2024.pdf"
12,FL,00,"Florida","Marco Rubio","Republican","Rick Scott","Republican",,,"https://environmentalenforcementwatch.org/report_cards/FL_2024.pdf"
13,GA,00,"Georgia","Jon Ossoff","Democrat","Raphael G. Warnock","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/GA_2024.pdf"
15,HI,00,"Hawaii","Mazie K. Hirono","Democrat","Brian Schatz","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/HI_2024.pdf"
16,ID,00,"Idaho","James E. Risch","Republican","Mike Crapo","Republican",,,"https://environmentalenforcementwatch.org/report_cards/ID_2024.pdf"
17,IL,00,"Illinois","Richard J. Durbin","Democrat","Tammy Duckworth","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/IL_2024.pdf"
18,IN,00,"Indiana","Todd Young","Republican","Mike Braun","Republican",,,"https://environmentalenforcementwatch.org/report_cards/IN_2024.pdf"
19,IA,00,"Iowa","Chuck Grassley","Republican","Joni Ernst","Republican",,,"https://environmentalenforcementwatch.org/report_cards/IA_2024.pdf"
20,KS,00,"Kansas","Jerry Moran","Republican","Roger Marshall","Republican",,,"https://environmentalenforcementwatch.org/report_cards/KS_2024.pdf"
21,KY,00,"Kentucky","Mitch McConnell","Republican","Rand Paul","Republican",,,"https://environmentalenforcementwatch.org/report_cards/KY_2024.pdf"
22,LA,00,"Louisiana","Bill Cassidy","Republican","John Kennedy","Republican",,,"https://environmentalenforcementwatch.org/report_cards/LA_2024.pdf"
23,ME,00,"Maine","Susan M. Collins","Republican","Angus S. King, Jr.","Independent",,,"https://environmentalenforcementwatch.org/report_cards/ME_2024.pdf"
24,MD,00,"Maryland","Benjamin L. Cardin","Democrat","Chris Van Hollen","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/MD_2024.pdf"
25,MA,00,"Massachusetts","Edward J. Markey","Democrat","Elizabeth Warren","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/MA_2024.pdf"
26,MI,00,"Michigan","Debbie Stabenow","Democrat","Gary C. Peters","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/MI_2024.pdf"
27,MN,00,"Minnesota","Amy Klobuchar","Democrat","Tina Smith","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/MN_2024.pdf"
28,MS,00,"Mississippi","Roger F. Wicker","Republican","Cindy Hyde-Smith","Republican",,,"https://environmentalenforcementwatch.org/report_cards/MS_2024.pdf"
29,MO,00,"Missouri","Josh Hawley","Republican","Eric Schmitt","Republican",,,"https://environmentalenforcementwatch.org/report_cards/MO_2024.pdf"
30,MT,00,"Montana","Jon Tester","Democrat","Steve Daines","Republican",,,"https://environmentalenforcementwatch.org/report_cards/MT_2024.pdf"
31,NE,00,"Nebraska","Deb Fischer","Republican","Pete Ricketts","Republican",,,"https://environmentalenforcementwatch.org/report_cards/NE_2024.pdf"
32,NV,00,"Nevada","Catherine Cortez Masto","Democrat","Jacky Rosen","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NV_2024.pdf"
33,NH,00,"New Hampshire","Jeanne Shaheen","Democrat","Margaret Wood Hassan","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NH_2024.pdf"
34,NJ,00,"New Jersey","Robert Menendez","Democrat","Cory A. Booker","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NJ_2024.pdf"
35,NM,00,"New Mexico","Martin Heinrich","Democrat","Ben Ray Luján","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NM_2024.pdf"
36,NY,00,"New York","Kirsten E. Gillibrand","Democrat","Charles E. Schumer","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/NY_2024.pdf"
37,NC,00,"North Carolina","Thom Tillis","Republican","Ted Budd","Republican",,,"https://environmentalenforcementwatch.org/report_cards/NC_2024.pdf"
38,ND,00,"North Dakota","John Hoeven","Republican","Kevin Cramer","Republican",,,"https://environmentalenforcementwatch.org/report_cards/ND_2024.pdf"
39,OH,00,"Ohio","Sherrod Brown","Democrat","J.D. Vance","Republican",,,"https://environmentalenforcementwatch.org/report_cards/OH_2024.pdf"
40,OK,00,"Oklahoma","James Lankford","Republican","Markwayne Mullin","Republican",,,"https://environmentalenforcementwatch.org/report_cards/OK_2024.pdf"
41,OR,00,"Oregon","Jeff Merkley","Democrat","Ron Wyden","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/OR_2024.pdf"
42,PA,00,"Pennsylvania","Robert P. Casey, Jr.","Democrat","John Fetterman","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/PA_2024.pdf"
44,RI,00,"Rhode Island","Sheldon Whitehouse","Democrat","Jack Reed","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/RI_2024.pdf"
45,SC,00,"South Carolina","Lindsey Graham","Republican","Tim Scott","Republican",,,"https://environmentalenforcementwatch.org/report_cards/SC_2024.pdf"
46,SD,00,"South Dakota","John Thune","Republican","Mike Rounds","Republican",,,"https://environmentalenforcementwatch.org/report_cards/SD_2024.pdf"
47,TN,00,"Tennessee","Marsha Blackburn","Republican","Bill Hagerty","Republican",,,"https://environmentalenforcementwatch.org/report_cards/TN_2024.pdf"
48,TX,00,"Texas","John Cornyn","Republican","Ted Cruz","Republican",,,"https://environmentalenforcementwatch.org/report_cards/TX_2024.pdf"
49,UT,00,"Utah","Mike Lee","Republican","Mitt Romney","Republican",,,"https://environmentalenforcementwatch.org/report_cards/UT_2024.pdf"
50,VT,00,"Vermont","Bernard Sanders","Independent","Peter Welch","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/VT_2024.pdf"
51,VA,00,"Virginia","Mark R. Warner","Democrat","Tim Kaine","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/VA_2024.pdf"
53,WA,00,"Washington","Maria Cantwell","Democrat","Patty Murray","Democrat",,,"https://environmentalenforcementwatch.org/report_cards/WA_2024.pdf"
54,WV,00,"West Virginia","Joe Manchin, III","Democrat","Shelley Moore Capito","Republican",,,"https://environmentalenforcementwatch.org/report_cards/WV_2024.pdf"
55,WI,00,"Wisconsin","Tammy Baldwin","Democrat","Ron Johnson","Republican",,,"https://environmentalenforcementwatch.org/report_cards/WI_2024.pdf"
56,WY,00,"Wyoming","John Barrasso","Republican","Cynthia M. Lummis","Republican",,,"https://environmentalenforcementwatch.org/report_cards/WY_2024.pdf"
60,AS,00,"American Samoa",,,,,,,"https://environmentalenforcementwatch.org/report_cards/AS_2024.pdf"
66,GU,00,"Guam",,,,,,,"https://environmentalenforcementwatch.org/report_cards/GU_2024.pdf"
69,MP,00,"Northern Mariana Islands",,,,,,,"https://environmentalenforcementwatch.org/report_cards/MP_2024.pdf"
72,PR,00,"Puerto Rico",,,,,,,"https://environmentalenforcementwatch.org/report_cards/PR_2024.pdf"
78,VI,00,"Virgin Islands",,,,,,,"https://environmentalenforcementwatch.org/report_cards/VI_2024.pdf"
0603,CA,03,"California Congressional District 3",,,,,"Kevin Kiley","Republican","https://environmentalenforcementwatch.org/report_cards/CA03_2024.pdf"
0803,CO,03,"Colorado Congressional District 3",,,,,"Lauren Boebert","Republican","https://environmentalenforcementwatch.org/report_cards/CO03_2024.pdf"
5507,WI,07,"Wisconsin Congressional District 7",,,,,"Thomas P. Tiffany","Republican","https://environmentalenforcementwatch.org/report_cards/WI07_2024.pdf"
4832,TX,32,"Texas Congressional District 32",,,,,"Colin Z. Allred","Democrat","https://environmentalenforcementwatch.org/report_cards/TX32_2024.pdf"
0625,CA,25,"California Congressional District 25",,,,,"Raul Ruiz","Democrat","https://environmentalenforcementwatch.org/report_cards/CA25_2024.pdf"
1312,GA,12,"Georgia Congressional District 12",,,,,"Rick W. Allen","Republican","https://environmentalenforcementwatch.org/report_cards/GA12_2024.pdf"
2904,MO,04,"Missouri Congressional District 4",,,,,"Mark Alford","Republican","https://environmentalenforcementwatch.org/report_cards/MO04_2024.pdf"
5101,VA,01,"Virginia Congressional District 1",,,,,"Robert J. Wittman","Republican","https://environmentalenforcementwatch.org/report_cards/VA01_2024.pdf"
0405,AZ,05,"Arizona Congressional District 5",,,,,"Andy Biggs","Republican","https://environmentalenforcementwatch.org/report_cards/AZ05_2024.pdf"
4827,TX,27,"Texas Congressional District 27",,,,,"Michael Cloud","Republican","https://environmentalenforcementwatch.org/report_cards/TX27_2024.pdf"
4822,TX,22,"Texas Congressional District 22",,,,,"Troy E. Nehls","Republican","https://environmentalenforcementwatch.org/report_cards/TX22_2024.pdf"
4810,TX,10,"Texas Congressional District 10",,,,,"Michael T. McCaul","Republican","https://environmentalenforcementwatch.org/report_cards/TX10_2024.pdf"
0616,CA,16,"California Congressional District 16",,,,,"Anna G. Eshoo","Democrat","https://environmentalenforcementwatch.org/report_cards/CA16_2024.pdf"
2104,KY,04,"Kentucky Congressional District 4",,,,,"Thomas Massie","Republican","https://environmentalenforcementwatch.org/report_cards/KY04_2024.pdf"
4201,PA,01,"Pennsylvania Congressional District 1",,,,,"Brian K. Fitzpatrick","Republican","https://environmentalenforcementwatch.org/report_cards/PA01_2024.pdf"
0613,CA,13,"California Congressional District 13",,,,,"John S. Duarte","Republican","https://environmentalenforcementwatch.org/report_cards/CA13_2024.pdf"
0608,CA,08,"California Congressional District 8",,,,,"John Garamendi","Democrat","https://environmentalenforcementwatch.org/report_cards/CA08_2024.pdf"
1202,FL,02,"Florida Congressional District 2",,,,,"Neal P. Dunn","Republican","https://environmentalenforcementwatch.org/report_cards/FL02_2024.pdf"
1308,GA,08,"Georgia Congressional District 8",,,,,"Austin Scott","Republican","https://environmentalenforcementwatch.org/report_cards/GA08_2024.pdf"
2406,MD,06,"Maryland Congressional District 6",,,,,"David J. Trone","Democrat","https://environmentalenforcementwatch.org/report_cards/MD06_2024.pdf"
3002,MT,02,"Montana Congressional District 2",,,,,"Matthew M. Rosendale, Sr.","Republican","https://environmentalenforcementwatch.org/report_cards/MT02_2024.pdf"
0618,CA,18,"California Congressional District 18",,,,,"Zoe Lofgren","Democrat","https://environmentalenforcementwatch.org/report_cards/CA18_2024.pdf"
4815,TX,15,"Texas Congressional District 15",,,,,"Monica De La Cruz","Republican","https://environmentalenforcementwatch.org/report_cards/TX15_2024.pdf"
4805,TX,05,"Texas Congressional District 5",,,,,"Lance Gooden","Republican","https://environmentalenforcementwatch.org/report_cards/TX05_2024.pdf"
2002,KS,02,"Kansas Congressional District 2",,,,,"Jake LaTurner","Republican","https://environmentalenforcementwatch.org/report_cards/KS02_2024.pdf"
0645,CA,45,"California Congressional District 45",,,,,"Michelle Steel","Republican","https://environmentalenforcementwatch.org/report_cards/CA45_2024.pdf"
0620,CA,20,"California Congressional District 20",,,,,"Kevin McCarthy","Republican","https://environmentalenforcementwatch.org/report_cards/CA20_2024.pdf"
0807,CO,07,"Colorado Congressional District 7",,,,,"Brittany Pettersen","Democrat","https://environmentalenforcementwatch.org/report_cards/CO07_2024.pdf"
5304,WA,04,"Washington Congressional District 4",,,,,"Dan Newhouse","Republican","https://environmentalenforcementwatch.org/report_cards/WA04_2024.pdf"
3402,NJ,02,"New Jersey Congressional District 2",,,,,"Jefferson Van Drew","Republican","https://environmentalenforcementwatch.org/report_cards/NJ02_2024.pdf"
2105,KY,05,"Kentucky Congressional District 5",,,,,"Harold Rogers","Republican","https://environmentalenforcementwatch.org/report_cards/KY05_2024.pdf"
3619,NY,19,"New York Congressional District 19",,,,,"Marcus J. Molinaro","Republican","https://environmentalenforcementwatch.org/report_cards/NY19_2024.pdf"
0641,CA,41,"California Congressional District 41",,,,,"Ken Calvert","Republican","https://environmentalenforcementwatch.org/report_cards/CA41_2024.pdf"
4707,TN,07,"Tennessee Congressional District 7",,,,,"Mark E. Green","Republican","https://environmentalenforcementwatch.org/report_cards/TN07_2024.pdf"
0407,AZ,07,"Arizona Congressional District 7",,,,,"Raúl M. Grijalva","Democrat","https://environmentalenforcementwatch.org/report_cards/AZ07_2024.pdf"
0504,AR,04,"Arkansas Congressional District 4",,,,,"Bruce Westerman","Republican","https://environmentalenforcementwatch.org/report_cards/AR04_2024.pdf"
0648,CA,48,"California Congressional District 48",,,,,"Darrell Issa","Republican","https://environmentalenforcementwatch.org/report_cards/CA48_2024.pdf"
1301,GA,01,"Georgia Congressional District 1",,,,,"Earl L. &quot;Buddy&quot; Carter","Republican","https://environmentalenforcementwatch.org/report_cards/GA01_2024.pdf"
1808,IN,08,"Indiana Congressional District 8",,,,,"Larry Bucshon","Republican","https://environmentalenforcementwatch.org/report_cards/IN08_2024.pdf"
2707,MN,07,"Minnesota Congressional District 7",,,,,"Michelle Fischbach","Republican","https://environmentalenforcementwatch.org/report_cards/MN07_2024.pdf"
3502,NM,02,"New Mexico Congressional District 2",,,,,"Gabe Vasquez","Democrat","https://environmentalenforcementwatch.org/report_cards/NM02_2024.pdf"
3714,NC,14,"North Carolina Congressional District 14",,,,,"Jeff Jackson","Democrat","https://environmentalenforcementwatch.org/report_cards/NC14_2024.pdf"
3800,ND,00,"North Dakota Congressional District (at Large)",,,,,"Kelly Armstrong","Republican","https://environmentalenforcementwatch.org/report_cards/ND00_2024.pdf"
3906,OH,06,"Ohio Congressional District 6",,,,,"Bill Johnson","Republican","https://environmentalenforcementwatch.org/report_cards/OH06_2024.pdf"
4104,OR,04,"Oregon Congressional District 4",,,,,"Val T. Hoyle","Democrat","https://environmentalenforcementwatch.org/report_cards/OR04_2024.pdf"
4502,SC,02,"South Carolina Congressional District 2",,,,,"Joe Wilson","Republican","https://environmentalenforcementwatch.org/report_cards/SC02_2024.pdf"
4823,TX,23,"Texas Congressional District 23",,,,,"Tony Gonzales","Republican","https://environmentalenforcementwatch.org/report_cards/TX23_2024.pdf"
4801,TX,01,"Texas Congressional District 1",,,,,"Nathaniel Moran","Republican","https://environmentalenforcementwatch.org/report_cards/TX01_2024.pdf"
4826,TX,26,"Texas Congressional District 26",,,,,"Michael C. Burgess","Republican","https://environmentalenforcementwatch.org/report_cards/TX26_2024.pdf"
3709,NC,09,"North Carolina Congressional District 9",,,,,"Richard Hudson","Republican","https://environmentalenforcementwatch.org/report_cards/NC09_2024.pdf"
4004,OK,04,"Oklahoma Congressional District 4",,,,,"Tom Cole","Republican","https://environmentalenforcementwatch.org/report_cards/OK04_2024.pdf"
1204,FL,04,"Florida Congressional District 4",,,,,"Aaron Bean","Republican","https://environmentalenforcementwatch.org/report_cards/FL04_2024.pdf"
2504,MA,04,"Massachusetts Congressional District 4",,,,,"Jake Auchincloss","Democrat","https://environmentalenforcementwatch.org/report_cards/MA04_2024.pdf"
2803,MS,03,"Mississippi Congressional District 3",,,,,"Michael Guest","Republican","https://environmentalenforcementwatch.org/report_cards/MS03_2024.pdf"
5105,VA,05,"Virginia Congressional District 5",,,,,"Bob Good","Republican","https://environmentalenforcementwatch.org/report_cards/VA05_2024.pdf"
0104,AL,04,"Alabama Congressional District 4",,,,,"Robert B. Aderholt","Republican","https://environmentalenforcementwatch.org/report_cards/AL04_2024.pdf"
1000,DE,00,"Delaware Congressional District (at Large)",,,,,"Lisa Blunt Rochester","Democrat","https://environmentalenforcementwatch.org/report_cards/DE00_2024.pdf"
2908,MO,08,"Missouri Congressional District 8",,,,,"Jason Smith","Republican","https://environmentalenforcementwatch.org/report_cards/MO08_2024.pdf"
3407,NJ,07,"New Jersey Congressional District 7",,,,,"Thomas H. Kean, Jr.","Republican","https://environmentalenforcementwatch.org/report_cards/NJ07_2024.pdf"
4102,OR,02,"Oregon Congressional District 2",,,,,"Cliff Bentz","Republican","https://environmentalenforcementwatch.org/report_cards/OR02_2024.pdf"
4209,PA,09,"Pennsylvania Congressional District 9",,,,,"Daniel Meuser","Republican","https://environmentalenforcementwatch.org/report_cards/PA09_2024.pdf"
4208,PA,08,"Pennsylvania Congressional District 8",,,,,"Matt Cartwright","Democrat","https://environmentalenforcementwatch.org/report_cards/PA08_2024.pdf"
4401,RI,01,"Rhode Island Congressional District 1",,,,,"David N. Cicilline","Democrat","https://environmentalenforcementwatch.org/report_cards/RI01_2024.pdf"
5110,VA,10,"Virginia Congressional District 10",,,,,"Jennifer Wexton","Democrat","https://environmentalenforcementwatch.org/report_cards/VA10_2024.pdf"
5402,WV,02,"West Virginia Congressional District 2",,,,,"Alexander X. Mooney","Republican","https://environmentalenforcementwatch.org/report_cards/WV02_2024.pdf"
2001,KS,01,"Kansas Congressional District 1",,,,,"Tracey Mann","Republican","https://environmentalenforcementwatch.org/report_cards/KS01_2024.pdf"
4814,TX,14,"Texas Congressional District 14",,,,,"Randy K. Weber, Sr.","Republican","https://environmentalenforcementwatch.org/report_cards/TX14_2024.pdf"
4824,TX,24,"Texas Congressional District 24",,,,,"Beth Van Duyne","Republican","https://environmentalenforcementwatch.org/report_cards/TX24_2024.pdf"
4836,TX,36,"Texas Congressional District 36",,,,,"Brian Babin","Republican","https://environmentalenforcementwatch.org/report_cards/TX36_2024.pdf"
4838,TX,38,"Texas Congressional District 38",,,,,"Wesley Hunt","Republican","https://environmentalenforcementwatch.org/report_cards/TX38_2024.pdf"
4817,TX,17,"Texas Congressional District 17",,,,,"Pete Sessions","Republican","https://environmentalenforcementwatch.org/report_cards/TX17_2024.pdf"
4818,TX,18,"Texas Congressional District 18",,,,,"Sheila Jackson Lee","Democrat","https://environmentalenforcementwatch.org/report_cards/TX18_2024.pdf"
4003,OK,03,"Oklahoma Congressional District 3",,,,,"Frank D. Lucas","Republican","https://environmentalenforcementwatch.org/report_cards/OK03_2024.pdf"
0406,AZ,06,"Arizona Congressional District 6",,,,,"Juan Ciscomani","Republican","https://environmentalenforcementwatch.org/report_cards/AZ06_2024.pdf"
3503,NM,03,"New Mexico Congressional District 3",,,,,"Teresa Leger Fernandez","Democrat","https://environmentalenforcementwatch.org/report_cards/NM03_2024.pdf"
1703,IL,03,"Illinois Congressional District 3",,,,,"Delia C. Ramirez","Democrat","https://environmentalenforcementwatch.org/report_cards/IL03_2024.pdf"
1701,IL,01,"Illinois Congressional District 1",,,,,"Jonathan L. Jackson","Democrat","https://environmentalenforcementwatch.org/report_cards/IL01_2024.pdf"
1716,IL,16,"Illinois Congressional District 16",,,,,"Darin LaHood","Republican","https://environmentalenforcementwatch.org/report_cards/IL16_2024.pdf"
0628,CA,28,"California Congressional District 28",,,,,"Judy Chu","Democrat","https://environmentalenforcementwatch.org/report_cards/CA28_2024.pdf"
0619,CA,19,"California Congressional District 19",,,,,"Jimmy Panetta","Democrat","https://environmentalenforcementwatch.org/report_cards/CA19_2024.pdf"
1225,FL,25,"Florida Congressional District 25",,,,,"Debbie Wasserman Schultz","Democrat","https://environmentalenforcementwatch.org/report_cards/FL25_2024.pdf"
1502,HI,02,"Hawaii Congressional District 2",,,,,"Jill N. Tokuda","Democrat","https://environmentalenforcementwatch.org/report_cards/HI02_2024.pdf"
1809,IN,09,"Indiana Congressional District 9",,,,,"Erin Houchin","Republican","https://environmentalenforcementwatch.org/report_cards/IN09_2024.pdf"
2101,KY,01,"Kentucky Congressional District 1",,,,,"James Comer","Republican","https://environmentalenforcementwatch.org/report_cards/KY01_2024.pdf"
2102,KY,02,"Kentucky Congressional District 2",,,,,"Brett Guthrie","Republican","https://environmentalenforcementwatch.org/report_cards/KY02_2024.pdf"
2301,ME,01,"Maine Congressional District 1",,,,,"Chellie Pingree","Democrat","https://environmentalenforcementwatch.org/report_cards/ME01_2024.pdf"
2302,ME,02,"Maine Congressional District 2",,,,,"Jared F. Golden","Democrat","https://environmentalenforcementwatch.org/report_cards/ME02_2024.pdf"
2401,MD,01,"Maryland Congressional District 1",,,,,"Andy Harris","Republican","https://environmentalenforcementwatch.org/report_cards/MD01_2024.pdf"
2804,MS,04,"Mississippi Congressional District 4",,,,,"Mike Ezell","Republican","https://environmentalenforcementwatch.org/report_cards/MS04_2024.pdf"
2802,MS,02,"Mississippi Congressional District 2",,,,,"Bennie G. Thompson","Democrat","https://environmentalenforcementwatch.org/report_cards/MS02_2024.pdf"
3001,MT,01,"Montana Congressional District 1",,,,,"Ryan K. Zinke","Republican","https://environmentalenforcementwatch.org/report_cards/MT01_2024.pdf"
3103,NE,03,"Nebraska Congressional District 3",,,,,"Adrian Smith","Republican","https://environmentalenforcementwatch.org/report_cards/NE03_2024.pdf"
3204,NV,04,"Nevada Congressional District 4",,,,,"Steven Horsford","Democrat","https://environmentalenforcementwatch.org/report_cards/NV04_2024.pdf"
3302,NH,02,"New Hampshire Congressional District 2",,,,,"Ann M. Kuster","Democrat","https://environmentalenforcementwatch.org/report_cards/NH02_2024.pdf"
0624,CA,24,"California Congressional District 24",,,,,"Salud O. Carbajal","Democrat","https://environmentalenforcementwatch.org/report_cards/CA24_2024.pdf"
4831,TX,31,"Texas Congressional District 31",,,,,"John R. Carter","Republican","https://environmentalenforcementwatch.org/report_cards/TX31_2024.pdf"
1201,FL,01,"Florida Congressional District 1",,,,,"Matt Gaetz","Republican","https://environmentalenforcementwatch.org/report_cards/FL01_2024.pdf"
4505,SC,05,"South Carolina Congressional District 5",,,,,"Ralph Norman","Republican","https://environmentalenforcementwatch.org/report_cards/SC05_2024.pdf"
4501,SC,01,"South Carolina Congressional District 1",,,,,"Nancy Mace","Republican","https://environmentalenforcementwatch.org/report_cards/SC01_2024.pdf"
5305,WA,05,"Washington Congressional District 5",,,,,"Cathy McMorris Rodgers","Republican","https://environmentalenforcementwatch.org/report_cards/WA05_2024.pdf"
0802,CO,02,"Colorado Congressional District 2",,,,,"Joe Neguse","Democrat","https://environmentalenforcementwatch.org/report_cards/CO02_2024.pdf"
4825,TX,25,"Texas Congressional District 25",,,,,"Roger Williams","Republican","https://environmentalenforcementwatch.org/report_cards/TX25_2024.pdf"
0604,CA,04,"California Congressional District 4",,,,,"Mike Thompson","Democrat","https://environmentalenforcementwatch.org/report_cards/CA04_2024.pdf"
1602,ID,02,"Idaho Congressional District 2",,,,,"Michael K. Simpson","Republican","https://environmentalenforcementwatch.org/report_cards/ID02_2024.pdf"
2608,MI,08,"Michigan Congressional District 8",,,,,"Daniel T. Kildee","Democrat","https://environmentalenforcementwatch.org/report_cards/MI08_2024.pdf"
3911,OH,11,"Ohio Congressional District 11",,,,,"Shontel M. Brown","Democrat","https://environmentalenforcementwatch.org/report_cards/OH11_2024.pdf"
0502,AR,02,"Arkansas Congressional District 2",,,,,"J. French Hill","Republican","https://environmentalenforcementwatch.org/report_cards/AR02_2024.pdf"
1714,IL,14,"Illinois Congressional District 14",,,,,"Lauren Underwood","Democrat","https://environmentalenforcementwatch.org/report_cards/IL14_2024.pdf"
0644,CA,44,"California Congressional District 44",,,,,"Nanette Diaz Barragán","Democrat","https://environmentalenforcementwatch.org/report_cards/CA44_2024.pdf"
1710,IL,10,"Illinois Congressional District 10",,,,,"Bradley Scott Schneider","Democrat","https://environmentalenforcementwatch.org/report_cards/IL10_2024.pdf"
1705,IL,05,"Illinois Congressional District 5",,,,,"Mike Quigley","Democrat","https://environmentalenforcementwatch.org/report_cards/IL05_2024.pdf"
1715,IL,15,"Illinois Congressional District 15",,,,,"Mary E. Miller","Republican","https://environmentalenforcementwatch.org/report_cards/IL15_2024.pdf"
1702,IL,02,"Illinois Congressional District 2",,,,,"Robin L. Kelly","Democrat","https://environmentalenforcementwatch.org/report_cards/IL02_2024.pdf"
1904,IA,04,"Iowa Congressional District 4",,,,,"Randy Feenstra","Republican","https://environmentalenforcementwatch.org/report_cards/IA04_2024.pdf"
1902,IA,02,"Iowa Congressional District 2",,,,,"Ashley Hinson","Republican","https://environmentalenforcementwatch.org/report_cards/IA02_2024.pdf"
1302,GA,02,"Georgia Congressional District 2",,,,,"Sanford D. Bishop, Jr.","Democrat","https://environmentalenforcementwatch.org/report_cards/GA02_2024.pdf"
1303,GA,03,"Georgia Congressional District 3",,,,,"A. Drew Ferguson IV","Republican","https://environmentalenforcementwatch.org/report_cards/GA03_2024.pdf"
1309,GA,09,"Georgia Congressional District 9",,,,,"Andrew S. Clyde","Republican","https://environmentalenforcementwatch.org/report_cards/GA09_2024.pdf"
1310,GA,10,"Georgia Congressional District 10",,,,,"Mike Collins","Republican","https://environmentalenforcementwatch.org/report_cards/GA10_2024.pdf"
3623,NY,23,"New York Congressional District 23",,,,,"Nicholas A. Langworthy","Republican","https://environmentalenforcementwatch.org/report_cards/NY23_2024.pdf"
3624,NY,24,"New York Congressional District 24",,,,,"Claudia Tenney","Republican","https://environmentalenforcementwatch.org/report_cards/NY24_2024.pdf"
3621,NY,21,"New York Congressional District 21",,,,,"Elise M. Stefanik","Republican","https://environmentalenforcementwatch.org/report_cards/NY21_2024.pdf"
3711,NC,11,"North Carolina Congressional District 11",,,,,"Chuck Edwards","Republican","https://environmentalenforcementwatch.org/report_cards/NC11_2024.pdf"
3703,NC,03,"North Carolina Congressional District 3",,,,,"Gregory F. Murphy","Republican","https://environmentalenforcementwatch.org/report_cards/NC03_2024.pdf"
3705,NC,05,"North Carolina Congressional District 5",,,,,"Virginia Foxx","Republican","https://environmentalenforcementwatch.org/report_cards/NC05_2024.pdf"
3708,NC,08,"North Carolina Congressional District 8",,,,,"Dan Bishop","Republican","https://environmentalenforcementwatch.org/report_cards/NC08_2024.pdf"
5508,WI,08,"Wisconsin Congressional District 8",,,,,"Mike Gallagher","Republican","https://environmentalenforcementwatch.org/report_cards/WI08_2024.pdf"
2509,MA,09,"Massachusetts Congressional District 9",,,,,"William R. Keating","Democrat","https://environmentalenforcementwatch.org/report_cards/MA09_2024.pdf"
2508,MA,08,"Massachusetts Congressional District 8",,,,,"Stephen F. Lynch","Democrat","https://environmentalenforcementwatch.org/report_cards/MA08_2024.pdf"
3909,OH,09,"Ohio Congressional District 9",,,,,"Marcy Kaptur","Democrat","https://environmentalenforcementwatch.org/report_cards/OH09_2024.pdf"
0804,CO,04,"Colorado Congressional District 4",,,,,"Ken Buck","Republican","https://environmentalenforcementwatch.org/report_cards/CO04_2024.pdf"
4813,TX,13,"Texas Congressional District 13",,,,,"Ronny Jackson","Republican","https://environmentalenforcementwatch.org/report_cards/TX13_2024.pdf"
5109,VA,09,"Virginia Congressional District 9",,,,,"H. Morgan Griffith","Republican","https://environmentalenforcementwatch.org/report_cards/VA09_2024.pdf"
0902,CT,02,"Connecticut Congressional District 2",,,,,"Joe Courtney","Democrat","https://environmentalenforcementwatch.org/report_cards/CT02_2024.pdf"
2203,LA,03,"Louisiana Congressional District 3",,,,,"Clay Higgins","Republican","https://environmentalenforcementwatch.org/report_cards/LA03_2024.pdf"
