fips,state_code,district_code,name,senator_1,senator_1_party,senator_2,senator_2_party,representative,representative_party,report_link
3618,NY,18,"New York Congressional District 18",,,,,"Patrick Ryan","Democrat","https://environmentalenforcementwatch.org/report_cards/NY18_2024.pdf"
0635,CA,35,"California Congressional District 35",,,,,"Norma J. Torres","Democrat","https://environmentalenforcementwatch.org/report_cards/CA35_2024.pdf"
0801,CO,01,"Colorado Congressional District 1",,,,,"Diana DeGette","Democrat","https://environmentalenforcementwatch.org/report_cards/CO01_2024.pdf"
1304,GA,04,"Georgia Congressional District 4",,,,,"Henry C. &quot;Hank&quot; Johnson, Jr.","Democrat","https://environmentalenforcementwatch.org/report_cards/GA04_2024.pdf"
3910,OH,10,"Ohio Congressional District 10",,,,,"Michael R. Turner","Republican","https://environmentalenforcementwatch.org/report_cards/OH10_2024.pdf"
4809,TX,09,"Texas Congressional District 9",,,,,"Al Green","Democrat","https://environmentalenforcementwatch.org/report_cards/TX09_2024.pdf"
2606,MI,06,"Michigan Congressional District 6",,,,,"Debbie Dingell","Democrat","https://environmentalenforcementwatch.org/report_cards/MI06_2024.pdf"
3626,NY,26,"New York Congressional District 26",,,,,"Brian Higgins","Democrat","https://environmentalenforcementwatch.org/report_cards/NY26_2024.pdf"
0631,CA,31,"California Congressional District 31",,,,,"Grace F. Napolitano","Democrat","https://environmentalenforcementwatch.org/report_cards/CA31_2024.pdf"
1212,FL,12,"Florida Congressional District 12",,,,,"Gus M. Bilirakis","Republican","https://environmentalenforcementwatch.org/report_cards/FL12_2024.pdf"
3203,NV,03,"Nevada Congressional District 3",,,,,"Susie Lee","Democrat","https://environmentalenforcementwatch.org/report_cards/NV03_2024.pdf"
3712,NC,12,"North Carolina Congressional District 12",,,,,"Alma S. Adams","Democrat","https://environmentalenforcementwatch.org/report_cards/NC12_2024.pdf"
0647,CA,47,"California Congressional District 47",,,,,"Katie Porter","Democrat","https://environmentalenforcementwatch.org/report_cards/CA47_2024.pdf"
